Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
Issue#1874 Fix ByteArrayDataInput Javadoc,,,,"Xaerxess: So Guava moved to Github! This is my first (and very small) fix: I spotted improperly closed tag in ByteArrayDataInput's Javadoc. Should be OK now.  gk5885: That's awesome.  Even for such a small change, can you fill out https://cla.developers.google.com/about/google-individual ?  gk5885: Also, just to make sure…  @cgruber and @cgdecker, we have the repository sync working both ways, right?  Xaerxess: No problem, I've just signed individual CLA.  cgdecker: @gk5885 I don't think we do have sync working both ways at the moment, unfortunately. If possible I'd definitely like to get it working of course, but I've been under the impression that 2-way syncing is difficult with the google-internal stuff mixed in. In the meantime I suppose we can handle pull requests by patching in the changes internally... can even set the author of the commit to the right person when syncing out potentially.  sameb: FWIW, two-way sync works fine for Guice, though we have limited google-internal things.  cgdecker: @Xaerxess Thanks! While we can't merge pull requests directly (see #1878), I merged this change internally and it's been synced out in 1b82532. In the future we should be able to make commits from pull requests actually attributed to you, but we didn't with this one, so sorry about that.  ",2014-11-01 22:15:18,2014-11-04 21:34:23,1,1,4
Issue#1876 Replace Google Code URLs with corresponding GitHub URLs,,,,"joschi: The guava-parent Maven POM still contains URLs pointing to Google Code for issues and SCM. This changesets updates the respective URLs to their counterparts on GitHub.  cgdecker: I think the developerConnection should probably be scm:git:git@github.com:google/guava.git.  joschi: GitHub does provide read/write access using HTTPS and it's their recommended way of access (see https://help.github.com/articles/which-remote-url-should-i-use/#cloning-with-https-recommended). Personally I also like access via SSH better and I can change the <developerConnection> URL if you prefer that over HTTPS.  cgdecker: I don't think it really matters too much, but my preference would be for SSH.  cgdecker: Thanks! Can you sign the Google individual CLA? Just FYI, we're going to be handling pull requests by applying the changes internally and then syncing them out rather than by merging the pull request directly. See #1878 for a little more on that.  joschi: I have signed the Google individual CLA.  cgdecker: LGTM I've gone ahead and submitted this change internally with the one minor change to use SSH for the <developerConnection> URL. Should be mirrored out shortly. Thanks!  ",2014-11-03 09:00:02,2014-11-05 20:26:19,1,1,2
Issue#1877 Add support for Travis CI,,,,"joschi: This changeset adds support for Travis CI as publicly visible means of continuous integration (additionally to the probably internally running CI system at Google). Travis CI is configured to build Guava with Oracle JDK 7, OpenJDK 7, and OpenJDK 6. Oracle JDK 8 hasn't been added to the list because of the currently unresolved issues with building Guava with Java 8. In order for this changeset to work, someone with the appropriate permissions on the Guava repository will have to activate the build on Travis CI, see Activate GitHub Webhook.  cgdecker: Thanks... as I said on the other pull request, we'll just need you to sign the Google individual CLA before we can accept the change.  joschi: I have signed the Google individual CLA.  cgdecker: Submitted internally; should be mirrored out soon.  ",2014-11-03 09:06:22,2014-11-05 20:37:13,2,2,2
Issue#1892 remove unnecessary null check,cla: yes,,,"MohandAndel: as TODO comments said to remove null boilerplate in CaseFormat.java . then I re-run CaseFormatTest test to ensure it passed .  googlebot: CLAs look good, thanks!  cgdecker: Thanks! This has been merged and synced in 1a7ecde.  ",2014-11-17 22:38:51,2014-11-19 17:06:02,1,1,3
Issue#1943 Fix typo in InetAddresses' Javadoc,cla: yes,,,"paolofulgoni: 
No description provided.
 



              The text was updated successfully, but these errors were encountered:
              cpovirk: 3c090f5  ",2015-01-12 10:34:22,2015-01-15 22:47:25,1,1,3
Issue#1948 Add toString to DeadEvent,cla: yes,,,"paolofulgoni: Given that the main purpose of DeadEvent is logging/debugging, I think that this simple string representation could be useful. 



              The text was updated successfully, but these errors were encountered:
              cpovirk: 252832d  ",2015-01-15 14:00:14,2015-01-15 22:47:37,1,1,3
Issue#1949 NullPointerTester: allow to override the exception type policy,,,,"philipp-classen: NullPointerTester already knows the concept of a ExceptionTypePolicy.
However, the field ""policy"" is always set to a default value. This patch adds an option to overwrite the policy to
allow IllegalArgumentExceptions. It also adds some unit tests.  philipp-classen: Hmm, Travis breaks because of an unrelated error: testLargeNumberOfInsertions(com.google.common.hash.BloomFilterTest): Java heap space  Stephan202: Apparently even more heap space is necessary. See this commit from yesterday: fa24bad.  lowasser: AFAICT, we actually have this already implemented but restricted to @GoogleInternal.  philipp-classen: @lowasser Maybe it is called ""acceptIllegalArgumentException""? That is mentioned in the commit message where the ExceptionTypePolicy was extracted (2be3428). I found the option to accept IllegalArgumentExceptions very useful, especially for existing code. If you can make it non-internally available, it would be great. By the way, are there any plans to move the NullPointerTester from the internal guava-testlib to the exported part of Guava? From my experience, it is useful for any code base and not limited to Guava itself. Not long ago, I introduced a slightly modified version of it at my company (including this IllegalArgument fix and the  Nullable annotation had to be changed). Today I was positively surprised that it is now being used all over our code base.  cgdecker: @philipp-classen We don't actually consider guava-testlib to be ""internal"". Users are free to depend on guava-testlib from their tests; we don't want to include the stuff there in the main guava artifact because depending on utilities intended for testing in non-test code isn't something you want to do generally.  philipp-classen: @cgdecker Yes, that makes sense. To be able to depend on guava-testlib is fine, too.  kartoffelsup: 👍 We are using checkArgument(!Strings.isNullOrEmpty(xyz)) a lot, which is why this addition would be really great. I know it's called NullPointerTester and not PreconditionsTester or something, but if you have it internally, could you 'publish' it? :)  kevinb9n:  kartoffelsup: Solid point. I agree kevinb9n. I guess this should be closed then?  cpovirk: Hmm, I said I was going to reopen this for the request in #5643. But I had forgotten that #1949 (comment) sounded fairly definitive. Maybe @kevinb9n has opinions on whether to reopen? There's lot of discussion of ""the right type of exception"" in https://stackoverflow.com/q/3881/28465, but I think Kevin's comment above is the big point.  kevinb9n: The NPE-vs-IAE debate is one thing outside the context of NullPointerTester. There, it's more like, ""so you want to check manually; it's just as easy to do it either way, which should you go with?"" Where NPT is involved it becomes very different: the choice of IAE also commits you to manual checking of every parameter instead of ever just dereferencing. Of course, ""just dereferencing"" might sometimes have led to ambiguous exception traces, but that's been greatly improved in the JVM now. I see less reason to make a change here than ever.  ",2015-01-16 18:07:59,2017-01-29 18:06:27,1,2,7
Issue#1950 Few lines addition in README.md,cla: yes,,,"vijayk2019: Hello,
If someone is new to guava, it'd be helpful to have more information in README.md. I tried to add some more information in README.md. Source I took information from: https://code.google.com/p/guava-libraries/  cgdecker: Thanks, I've merged in a slightly modified version of this in 65c42d9.  ",2015-01-16 19:32:32,2015-01-22 20:58:35,2,2,3
Issue#1951 Increase test heap to 3G.,cla: yes,,,"cgdecker: This pull request is just for testing whether increasing the max heap for tests to 3 GB works and solves the problem with the BloomFilter test that's OOMing. 



              The text was updated successfully, but these errors were encountered:
              ",2015-01-21 20:11:59,2015-01-22 19:59:40,2,1,2
Issue#1969 Jdk5 backport v17.0 compatibility,cla: no,,,"paulduffin: Reverts (at least in part) a number of changes made to jdk5-backport-v17.0-post to make it more compatible with code built against jdk5-backport-v14.0.1-post, specifically AOSP code. The reverted changes added back methods that had been present in v14 (deprecated and not) and since been removed. The intent is to allow AOSP code that built against v14.0.1 to also build against the compatibility version of v17.0 without modification (or with minimal atomic modifications). That will make upgrading itself easier and will allow other changes such as removing usages of deprecated methods to be done in stages. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project, in which case you'll need to sign a Contributor License Agreement (CLA) at https://cla.developers.google.com/. If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check the information on your CLA or see this help article on setting the email on your git commits. Once you've done that, please reply here to let us know.  If you signed the CLA as a corporation, please let us know the company's name.  ",2015-02-11 14:48:10,2015-02-11 14:49:23,188,393,6
